,tags,words
0,-,-
1,-,-
2,-,-
3,dseo,quiero
4,cmpr,comprar
5,uno,un
6,pdcto,auto
7,-,-
8,-,-
9,-,-
10,-,-
11,-,-
12,-,-
13,dseo,quiero
14,cmpr,comprar
15,uno,un
16,pdcto,autos
17,-,-
18,-,-
19,-,-
20,-,-
21,-,-
22,-,-
23,dseo,quiero
24,cmpr,comprar
25,uno,un
26,pdcto,lavadora
27,-,-
28,-,-
29,-,-
30,-,-
31,-,-
32,-,-
33,dseo,quiero
34,cmpr,comprar
35,uno,un
36,pdcto,lavadoras
37,-,-
38,-,-
39,-,-
40,-,-
41,-,-
42,-,-
43,dseo,quiero
44,cmpr,comprar
45,uno,un
46,pdcto,mueble
47,-,-
48,-,-
49,-,-
50,-,-
51,-,-
52,-,-
53,dseo,quiero
54,cmpr,comprar
55,uno,un
56,pdcto,muebles
57,-,-
58,-,-
59,-,-
60,-,-
61,-,-
62,-,-
63,dseo,quiero
64,cmpr,comprar
65,uno,un
66,pdcto,computadora
67,-,-
68,-,-
69,-,-
70,-,-
71,-,-
72,-,-
73,dseo,quiero
74,cmpr,comprar
75,uno,un
76,pdcto,computadoras
77,-,-
78,-,-
79,-,-
80,-,-
81,-,-
82,-,-
83,dseo,quiero
84,cmpr,comprar
85,uno,un
86,pdcto,laptop
87,-,-
88,-,-
89,-,-
90,-,-
91,-,-
92,-,-
93,dseo,quiero
94,cmpr,comprar
95,uno,un
96,pdcto,laptops
97,-,-
98,-,-
99,-,-
100,-,-
101,-,-
102,-,-
103,dseo,quiero
104,cmpr,comprar
105,uno,unos
106,pdcto,auto
107,-,-
108,-,-
109,-,-
110,-,-
111,-,-
112,-,-
113,dseo,quiero
114,cmpr,comprar
115,uno,unos
116,pdcto,autos
117,-,-
118,-,-
119,-,-
120,-,-
121,-,-
122,-,-
123,dseo,quiero
124,cmpr,comprar
125,uno,unos
126,pdcto,lavadora
127,-,-
128,-,-
129,-,-
130,-,-
131,-,-
132,-,-
133,dseo,quiero
134,cmpr,comprar
135,uno,unos
136,pdcto,lavadoras
137,-,-
138,-,-
139,-,-
140,-,-
141,-,-
142,-,-
143,dseo,quiero
144,cmpr,comprar
145,uno,unos
146,pdcto,mueble
147,-,-
148,-,-
149,-,-
150,-,-
151,-,-
152,-,-
153,dseo,quiero
154,cmpr,comprar
155,uno,unos
156,pdcto,muebles
157,-,-
158,-,-
159,-,-
160,-,-
161,-,-
162,-,-
163,dseo,quiero
164,cmpr,comprar
165,uno,unos
166,pdcto,computadora
167,-,-
168,-,-
169,-,-
170,-,-
171,-,-
172,-,-
173,dseo,quiero
174,cmpr,comprar
175,uno,unos
176,pdcto,computadoras
177,-,-
178,-,-
179,-,-
180,-,-
181,-,-
182,-,-
183,dseo,quiero
184,cmpr,comprar
185,uno,unos
186,pdcto,laptop
187,-,-
188,-,-
